SEGU7302233;40' Open Top;Sold;;2018-01-05;Hamburg;12/2011
SEGU7302249;40' Open Top;Sold;;2022-11-17;Singapore;12/2011
SEGU7302254;40' Open Top;Sold;;2020-07-22;Busan;12/2011
SEGU7302260;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302275;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302280;;;;;;/
SEGU7302296;40' Open Top;Sold;;2019-12-04;Busan;12/2011
SEGU7302300;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Genoa;12/2011
SEGU7302315;40' Open Top;Sold;;2018-01-05;Hamburg;12/2011
SEGU7302320;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7302336;40' Open Top;On Hire;CJ ICM FZCO;2020-11-23;Mumbai;12/2011
SEGU7302341;40' Open Top;Sold;;2020-08-11;Singapore;12/2011
SEGU7302357;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7302362;40' Open Top;On Hire;MSC Mediterranean Shipping Company;2017-07-06;Naples;12/2011
SEGU7302378;40' Open Top;Sold;;2020-07-28;Port Klang;12/2011
SEGU7302383;;;;;;/
SEGU7302399;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
SEGU7302402;;;;;;/
SEGU7302418;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2019-02-18;Shanghai;12/2011
SEGU7302423;40' Open Top;On Hire;MSC Mediterranean Shipping Company;2017-07-06;Le Havre;12/2011
SEGU7302439;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7302444;40' Open Top;Sold;;2021-02-23;Brisbane;12/2011
SEGU7302450;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302465;40' Open Top;On Hire;CMA CGM;2017-12-28;Busan;12/2011
SEGU7302470;40' Open Top;Sold;;2018-01-09;Hamburg;12/2011
SEGU7302486;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-07-05;Shanghai;12/2011
SEGU7302491;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-06-25;Singapore;12/2011
SEGU7302505;40' Open Top;On Hire;China United Lines Ltd. & C.U. Line;2019-06-24;Kaohsiung;12/2011
SEGU7302510;40' Open Top;On Hire;China United Lines Ltd. & C.U. Line;2018-04-27;Chiwan;12/2011
SEGU7302526;40' Open Top;On Hire;CMA CGM;2017-12-14;Busan;12/2011
SEGU7302531;40' Open Top;Sold;;;Changzhou Manuf;12/2011
SEGU7302547;40' Open Top;Sold;;2020-03-20;Shanghai;12/2011
SEGU7302552;40' Open Top;On Hire;DARIO PERIOLI S.P.A.;2017-07-17;Valencia;12/2011
SEGU7302568;40' Open Top;Sold;;2020-06-29;Shanghai;12/2011
SEGU7302573;40' Open Top;Sold;;2021-02-09;Singapore;12/2011
SEGU7302589;40' Open Top;On Hire;MSC Mediterranean Shipping Company;2017-08-21;Barcelona;12/2011
SEGU7302594;40' Open Top;On Hire;CMA CGM;2018-01-10;Shanghai;12/2011
SEGU7302608;;;;;;/
SEGU7302613;40' Open Top;Sold;;2021-02-09;Singapore;12/2011
SEGU7302629;40' Open Top;On Hire;Sinotrans Container Lines Co., Ltd;2017-06-27;Shanghai;12/2011
SEGU7302634;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-11-05;Singapore;12/2011
SEGU7302640;40' Open Top;Sold;;2019-12-20;Shanghai;12/2011
SEGU7302655;40' Open Top;Sold;;2023-05-22;Rotterdam;12/2011
SEGU7302660;;;;;;/
SEGU7302676;40' Open Top;Sold;;2020-07-22;Busan;12/2011
SEGU7302681;40' Open Top;Sold;;2020-02-11;La Spezia;12/2011
SEGU7302697;40' Open Top;Sold;;2019-06-07;Rotterdam;12/2011
SEGU7302700;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
SEGU7302716;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2017-03-31;Chennai;12/2011
SEGU7302721;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302737;40' Open Top;Sold;;2018-01-09;Hamburg;12/2011
SEGU7302742;40' Open Top;Sold;;2021-03-08;Busan;12/2011
SEGU7302758;40' Open Top;Sold;;2018-09-01;Singapore;12/2011
SEGU7302763;40' Open Top;Sold;;2019-11-26;Busan;12/2011
SEGU7302779;40' Open Top;Sold;;2023-02-10;Antwerp;12/2011
SEGU7302784;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302790;40' Open Top;Sold;;2020-06-16;Sydney;12/2011
SEGU7302803;40' Open Top;On Hire;Ocean Network Express Pte. Ltd.;2021-01-01;Hamburg;12/2011
SEGU7302819;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302824;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302830;;;;;;/
SEGU7302845;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302850;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302866;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7302871;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302887;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302892;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302906;40' Open Top;Sold;;2022-12-15;Antwerp;12/2011
SEGU7302911;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302927;40' Open Top;On Hire;Sarjak Container Lines Pvt. Ltd & S;2018-09-06;Hamburg;12/2011
SEGU7302932;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302948;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302953;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302969;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302974;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302980;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7302995;40' Open Top;Sold;;2019-08-30;Busan;12/2011
SEGU7303008;40' Open Top;On Hire;CMA CGM;2012-06-22;Changzhou Manuf;12/2011
SEGU7303013;40' Open Top;On Hire;CMA CGM;2012-06-21;Changzhou Manuf;12/2011
SEGU7303029;40' Open Top;On Hire;Hapag-Lloyd AG;2021-03-17;Antwerp;12/2011
SEGU7303034;40' Open Top;On Hire;Ceekay Shipping Pte Ltd & Parekh;2018-09-08;Singapore;12/2011
SEGU7303040;40' Open Top;Sold;;2019-02-01;Busan;12/2011
