GTIN,Variant Name,Category Name,Brand Name,Price (€),Inventory,Image URL,Seller,MOV (€),Available Qty,Ordering Qty,Total Price (€)
3360373063680,Cacharel Amor Amor Eau de Toilette 100ml,Eau De Toilette,Cacharel,24.32,27,https://static.prod.qogita.com/files/images/variants/2iLqoTNZwg3SSVhLcZtX8n.jpg,7X38GR,350.00,0,0,0.00,1
3360373016341,Cacharel Noa Eau de Toilette Spray for Women 50ml,Eau De Toilette,Cacharel,17.91,100,https://static.prod.qogita.com/files/images/variants/Wx7kAoQD2U3Pe7LgtAogyj.jpg,VV9JDK,350.00,0,0,0.00,1
3439600056969,Thierry Mugler Alien Eau de Parfum Spray 90ml,Eau De Parfum,Thierry Mugler,64.10,179,https://static.prod.qogita.com/files/images/variants/bVtZSMqVTtWhBcsLEs5SuX.jpg,16E19R,350.00,0,0,0.00,1
3605532612690,Lancôme La Vie est Belle Eau de Parfum Spray 30ml,Eau De Parfum,Lancôme,35.37,369,https://static.prod.qogita.com/files/images/variants/kNi7VDMdDwuYfWbq4Wkn9j.jpg,16E19R,350.00,0,0,0.00,1
0088300606511,Calvin Klein Obsession for Men Eau de Toilette 125ml,Eau De Toilette,Calvin Klein,14.37,109,https://static.prod.qogita.com/files/images/variants/ibJALcrsQm7w4D5MJKNxFw.jpg,VV9JDK,350.00,0,0,0.00,1
3423473053958,Narciso Rodriguez Narciso Ambree Eau De Parfum Spray 90ml/3oz,Eau De Parfum,Narciso Rodriguez,55.81,18,https://static.prod.qogita.com/files/images/variants/UCMtkj2Fru34qu5BcdbWbw.jpg,LE33VL,350.00,0,0,0.00,1
3349668568093,Olympea by Paco Rabanne Eau De Parfum for Women 50ml,Eau De Parfum,Paco Rabanne,48.63,33,https://static.prod.qogita.com/files/images/variants/PiZ5ZppFzY4wwTeFnvBBTN.jpg,VVLDG9,350.00,0,0,0.00,1
3346470114814,Guerlain Eau de Parfum 100ml,Eau De Parfum,Guerlain,51.65,500,https://static.prod.qogita.com/files/images/variants/LwizUQZXMTTECr69YHPvTA.jpg,MOWM93,900.00,0,0,0.00,1
3360373063703,Cacharel Amor Amor Eau de Toilette Women's Perfume Long Lasting Attractive for Every Occasion 50ml,Eau De Toilette,Cacharel,16.69,192,https://static.prod.qogita.com/files/images/variants/8kEiQUiHyHFzFvSADqwqUt.jpg,335631,600.00,0,0,0.00,1
0027131006534,Estee Lauder Knowing Women's Eau De Parfum Perfume 75ml,Eau De Parfum,Estée Lauder,29.79,92,https://static.prod.qogita.com/files/images/variants/JQPTaipmgyUUmkrLiviFsr.jpg,LEKM75,350.00,0,0,0.00,1
0737052925127,Gucci Bamboo Eau De Parfum Spray 75ml,Eau De Parfum,Gucci,43.56,57,https://static.prod.qogita.com/files/images/variants/GAib6uyvVXzB2RszDhCeF6.jpg,VV9JDK,350.00,0,100,4355.00,1
3423478806054,Narciso Rodriguez for Him Bleu Noir EDT 100ml,Eau De Toilette,Narciso Rodriguez,36.02,30,https://static.prod.qogita.com/files/images/variants/eCey2RJJHBHtnuDzEnPvoZ.jpg,GELD3O,350.00,0,100,3602.00,1
3605521172587,Acqua Di Gioia by Giorgio Armani Eau De Parfum Spray 1.7oz,Eau De Parfum,Giorgio Armani,47.41,570,https://static.prod.qogita.com/files/images/variants/Dv4KpksRDcRr45Dhocx3K6.jpg,GELD3O,350.00,0,100,4741.00,1
